title,human,full,id,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
Benjamin Salley - Intro to Portrait Painting,"An intro to Portrait and Grisaille painting workshop with local Lexington artist, Benjamin Salley.","<p><span style=""color: rgb(29, 33, 41);"">Local Lexington artist, Benjamin Salley, will be teaching a 2 day intro to portrait painting workshop on Sat Feb 16 and Sat Feb 23. There will be a live model present so the class will be painting from life. The workshop on February 16th will cover basic composition and underpainting methods. The workshop on February 23rd will begin painting a Grisaille. The total class fee will be $150 and cover the cost of supplies, model, instructor fee and space fee. Reach out to Benjamin at benjaminsalleypainting@gmail.com or The Lexington Art League if you are interested. Session times are 9am-3:30pm both days.</span></p><p><br></p>",35dbec90-2bd3-11e9-b43e-456ed9f9b823,"Local artist Benjamin Salley teaching 2-day intro to portrait painting workshop with live model, covering composition, underpainting, and Grisaille. $150 fee.","Local Lexington artist Benjamin Salley teaching 2-day intro to portrait painting workshop with live model, covering composition, underpainting, and Grisaille. $150 fee.","Local artist Benjamin Salley teaching 2-day intro to portrait painting workshop with live model, covering composition, underpainting & Grisaille.","Local Lexington artist Benjamin Salley teaching 2-day intro to portrait painting workshop with live model, covering composition, underpainting, and Grisaille. $150 fee.","Local artist Benjamin Salley teaching 2-day intro to portrait painting workshop with live model, covering composition, underpainting, Grisaille. $150 fee."
New Years Eve - Kentucky High Times Super Jam,Come close out 2018 with us at Al’s Bar for a night of tunes and special guests from all over the Kentucky music scene,"<p><span style=""color: rgb(29, 33, 41);"">Come close out 2018 with us at Al’s Bar for a night of tunes and special guests from all over the Kentucky music scene. Kentucky High Times will provide the backbone for the night, but joining us will be a plethora of musicians including Winchester’s one and only Rifletown to help us out with a night of soulful tunes to end this whirlwind of a year. We have been reaching out to many of our local music badasses and look forward to passing around the mics and instruments to share what will definitely be a night to remember. Come down and bring in a new year with us!</span></p>",f7d96d90-09f5-11e9-b43e-456ed9f9b823,"Celebrate the end of 2018 at Al's Bar with Kentucky High Times, Rifletown, and special guests from the local music scene for a night of soulful tunes.","Closing out 2018 at Al's Bar with Kentucky High Times, Rifletown, and local musicians for a night of soulful tunes and special guests.","Closing out 2018 at Al's Bar with Kentucky High Times, Rifletown & special guests from the Kentucky music scene for a night of soulful tunes.","Celebrate the end of 2018 at Al's Bar with Kentucky High Times, Rifletown, and special guests from the local music scene for a night of soulful tunes.","Celebrate the end of 2018 at Al's Bar with Kentucky High Times, Rifletown, and special guests from the local music scene for a night of soulful tunes."
Visiting Artist Talk - Jesse Harrod,The School of Art and Visual Studies Visiting Artist and Scholar Program is please to present Jesse Harrod,"<p><span style=""background-color: transparent;"">Jesse Harrod</span></p><p><span style=""background-color: transparent;"">Wednesday, 2/12/2020 @ 6PM, RM 136</span></p><p><span style=""background-color: transparent;"">Jesse Harrod’s work manipulates and transforms materials to animate their sexual and sensual qualities and explore the intersections among queer kinship, support and sexuality. In their sculptural installations, they work with rope as a pliable linear element that they regard much like a drawing tool, specifically utilizing known making techniques such as macrame in ways that can be understood as simultaneously restraining and support.</span></p><p><br></p><p><br></p>",36c05e70-3938-11ea-9d77-193829f642f5,Queer artist Jesse Harrod's sculptural installations explore sexuality and kinship through rope-based works manipulating materials.,"Jesse Harrod's sculptural installations explore queer kinship, support and sexuality through manipulated materials like rope macrame.","Jesse Harrod's sculptural installations explore queer kinship, support, and sexuality through manipulating materials like rope macrame.","Jesse Harrod's sculptural installations animate materials' sensual qualities, exploring queer kinship, support, and sexuality through rope manipulation.","Jesse Harrod's queer sculptural installations manipulate materials like rope to explore intersections of kinship, support, and sexuality."
Off the Podium: Blues & Brews with Finalist Enrico Lopez-Yañez ,"If you're missing warm days, this cozy meet and greet with February conductor finalist, Enrico Lopez-Yañez is the party for you! Join us at the Beaumont Centre Clubhouse for hors d’oeuvres and a sampling some of Lexington's best craft beers, and warm those winter blues away. ","<p>If you're missing warm days, this cozy meet and greet with February conductor finalist, Enrico Lopez-Yañez is the party for you! Join us at the Beaumont Centre Clubhouse for hors d’oeuvres and a sampling some of Lexington's best craft beers, and warm those winter blues away. </p><p><br></p><p><strong>Beaumont Centre Clubhouse</strong></p><p>3231 Beaumont Centre Circle</p><p>Lexington, Kentucky 40513</p><p>6:00 - 8:00 PM</p><p><br></p><p>Attire: Comfortable &amp; Casual</p><p>Tickets: $75</p><p>100 Guests MAX</p><p><br></p><p><strong>Hosted By: Brett &amp; Jackie Scott</strong></p><p><strong>Sponsored By: Type A Catering</strong></p>",87d8eff0-fb69-11e9-b43e-456ed9f9b823,"Cozy meet & greet with conductor finalist Enrico Lopez-Yañez featuring hors d'oeuvres, craft beers, and warm ambiance at Beaumont Centre Clubhouse.","Cozy meet and greet with conductor finalist Enrico Lopez-Yañez featuring hors d'oeuvres, craft beers, at Beaumont Centre Clubhouse in Lexington.","Warm winter party with conductor finalist Enrico Lopez-Yañez featuring hors d'oeuvres, craft beers, and cozy vibes in Lexington.","Cozy meet & greet with conductor finalist Enrico Lopez-Yañez featuring hors d'oeuvres, craft beers, and winter warmth at Beaumont Centre.","Meet February conductor finalist Enrico Lopez-Yañez at a cozy party with hors d'oeuvres, craft beers, and a warm ambiance in Lexington."
Lexington Art League,"The Lexington Art League is happy to present its Holiday Market on November 23 from 12-7 PM.  Hosted at the historic villa, the Loudoun House, this market will provide the perfect setting to kick off the season. Shop fine art and crafts from over 20 local and regional artists. Get a personalized gift, or maybe something for yourself. There’s plenty to see and shop at the Lexington Art League Holiday Market. We appreciate you coming out to support local art and businesses!  Free and Open to the Public!","<p><span style=""color: rgb(29, 33, 41);"">The Lexington Art League is happy to present its Holiday Market on November 23 from 12-7 PM.</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Hosted at the historic villa, the Loudoun House, this market will provide the perfect setting to kick off the season. Shop fine art and crafts from over 20 local and regional artists. Get a personalized gift, or maybe something for yourself. There’s plenty to see and shop at the Lexington Art League Holiday Market. We appreciate you coming out to support local art and businesses!</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Free and Open to the Public!</span></p>",448ee1b0-fb54-11e9-b43e-456ed9f9b823,"Lexington Art League Holiday Market: Shop fine art, crafts from 20+ local artists at historic Loudoun House villa. Free admission.","Lexington Art League's Holiday Market at historic Loudoun House offers fine art, crafts from 20+ local artists for unique gifting.","Lexington Art League's Holiday Market offers fine art, crafts from over 20 local artists at historic Loudoun House. Free admission.",Lexington Art League Holiday Market: Shop fine art & crafts from 20+ local artists at historic Loudoun House. Free & open to public.,Lexington Art League Holiday Market: Shop fine art & crafts from 20+ local artists at historic Loudoun House villa. Free admission.
Krampus Cabaret ft/Mary Rodgers!,Come celebrate whatever you feel is worth celebrating with a magnificently eclectic assortment of local talent,"<p><span style=""color: rgb(29, 33, 41);"">Come celebrate whatever you feel is worth celebrating with a magnificently eclectic assortment of local talent, featuring a solo set from Nashville's swingin' songstress, Mary Rodgers! Stay tuned, more details to come!</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">FEATURING:</span></p><p><span style=""color: rgb(29, 33, 41);"">Mary Rodgers (jazz/folk, Nashville, TN)</span></p><p><span style=""color: rgb(29, 33, 41);"">Last of the Dodo (loony, toony metal)</span></p><p><span style=""color: rgb(29, 33, 41);"">Quite Literally (jazz/folk)</span></p><p><span style=""color: rgb(29, 33, 41);"">Eric McM (southern-gothic carnival madness)</span></p>",4628b180-1c43-11ea-87a7-4f5c28cab2b3,"Eclectic local talent celebration featuring Nashville's Mary Rodgers, Last of the Dodo's loony metal, Quite Literally's jazz/folk, and Eric McM's gothic madness.","Join us for an eclectic celebration featuring Nashville's Mary Rodgers, Last of the Dodo's loony metal, Quite Literally's jazz/folk, and Eric McM's southern gothic madness!","Come celebrate with local talent including jazz/folk songstress Mary Rodgers, loony metal band Last of the Dodo, and more eclectic acts!","Come celebrate with an eclectic assortment of local talent, featuring Nashville's swingin' songstress Mary Rodgers and more!","Come celebrate with an eclectic assortment of local talent, featuring Nashville's swingin' songstress Mary Rodgers and more!"
Chamber Music Festival of Lexington,"The Chamber Music Festival of Lexington celebrates its 13th season August 22 - September 1, 2019 with four formal concerts.","<p>The Chamber Music Festival of Lexington celebrates its 13th season August 22 - September 1, 2019 with four formal concerts, free pop-up events, and a lively cabaret night! Our 2019 Artist-in-Residence is David Kim, renowned violinist and concertmaster of the Philadelphia Orchestra, and 2019 also continues a special feature with the Central Kentucky Youth Orchestras students collaborating with our Mainstage artists. This performance features Nathan Cole &amp; Akiko Tarumoto, violins, Burchard Tang, viola, Priscilla Lee, cello, CKYO All-Stars, and 2019 Artist-in-Residence, David Kim!</p><p><br></p>",023a90e0-a4d6-11e9-b43e-456ed9f9b823,"Renowned violinist David Kim leads Chamber Music Festival of Lexington's 13th season with concerts, pop-ups, and youth collaboration.","Chamber Music Festival celebrates 13th season with renowned violinist David Kim, concerts, pop-ups, cabaret, and youth collaboration.","Chamber Music Festival celebrates 13th season with renowned violinist David Kim, youth orchestra collaboration, concerts & events","Chamber Music Festival celebrates 13th season with renowned artists, youth collaborations, pop-up events, and cabaret night.","Chamber Music Festival celebrates 13th season with renowned artists, youth collaborations, concerts, pop-ups, and cabaret night"
Halloween Comic Fest 2019,A spooktacularly fun day to visit Heroes Realm!,"<p><span style=""color: rgb(29, 33, 41);"">FREE COMICS</span></p><p><span style=""color: rgb(29, 33, 41);"">Guest Artist Ashley Marsh</span></p><p><span style=""color: rgb(29, 33, 41);"">Guest Artist James-Michael Hammond</span></p><p><span style=""color: rgb(29, 33, 41);"">Guest Cosplay: Shadowbrite Cosplay</span></p><p><span style=""color: rgb(29, 33, 41);"">HUGE SALES: The INFAMOUS $1 SALE</span></p><p><span style=""color: rgb(29, 33, 41);"">Costume Contest</span></p><p><span style=""color: rgb(29, 33, 41);"">Prizes</span></p><p><span style=""color: rgb(29, 33, 41);"">A spooktacularly fun day to visit Heroes Realm!</span></p>",2b5ccdc0-f1f3-11e9-b43e-456ed9f9b823,"Free comics, guest artists Ashley Marsh & James-Michael Hammond, Shadowbrite Cosplay, $1 sale, costume contest & prizes at Heroes Realm!","Enjoy FREE COMICS, guest artists Ashley Marsh & James-Michael Hammond, Shadowbrite Cosplay, $1 SALE, costume contest with prizes at Heroes Realm's spooktacular event!","Heroes Realm hosts free comics event with guest artists, cosplay, costume contest, prizes and a huge $1 sale for a spooktacular day.","Heroes Realm hosts free comics, guest artists, cosplay, huge $1 sale, costume contest with prizes for a spooktacularly fun day!","Heroes Realm hosts FREE COMICS event with guest artists Ashley Marsh & James-Michael Hammond, cosplay guest Shadowbrite Cosplay, $1 sale, costume contest & prizes."
Stephen Rolfe Powell Memorial,"Please join us to honor Stephen Rolfe Powell's work, his art, and his life with his colleagues, former students, family, and friends","<p><a href=""https://www.facebook.com/centre/"" target=""_blank"" style=""background-color: rgb(255, 255, 255); color: rgb(56, 88, 152);"">Centre College</a><span style=""color: rgb(29, 33, 41);""> will be hosting a celebration of the life of glass artist Stephen Rolfe Powell in Danville Kentucky, Saturday September 21st at 2:00pm at the </span><a href=""https://www.facebook.com/nortoncenter/"" target=""_blank"" style=""color: rgb(56, 88, 152); background-color: rgb(255, 255, 255);"">Norton Center for the Arts</a><span style=""color: rgb(29, 33, 41);"">. Please join us to honor Stephen Rolfe Powell's work, his art, and his life with his colleagues, former students, family, and friends.</span></p>",7f3ec4f0-be97-11e9-b43e-456ed9f9b823,"Centre College celebrates glass artist Stephen Rolfe Powell's life and work with colleagues, students, family, and friends at Norton Center for the Arts in Danville, KY.","Centre College celebrates life of glass artist Stephen Rolfe Powell with colleagues, students, family & friends at Norton Center for the Arts","Centre College celebrates glass artist Stephen Rolfe Powell's life and work with colleagues, students, family, and friends at Norton Center for the Arts in Danville, Kentucky.","Centre College celebrates glass artist Stephen Rolfe Powell's life and work with colleagues, students, family, and friends in Danville, Kentucky.","Centre College celebrates glass artist Stephen Rolfe Powell's life and work with colleagues, students, family, and friends at Norton Center for the Arts in Danville, Kentucky."
WRFL's 31st Birthday Bash,"Your favorite radio station, like all things, can't help but get older.","<p><span style=""color: rgb(29, 33, 41);"">Your favorite radio station, like all things, can't help but get older. We're rapidly approaching the throes of middle age, but that won't stop us from kicking out the jams -- this year, we're bringing Louisville indie rockers Quality Cable, New York power pop outfit Spud Cannon, Lexington electronic duo Tiny Tiny, and LA skate-disco pair Cobra Man to help us ease into our later days.</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Come celebrate with us at the Smiley Pete Tadoo Lounge on Saturday, March 9. Doors open at 7, music at 8. Let's rock, Lexington. </span></p>",434be560-351a-11e9-b43e-456ed9f9b823,"Favorite radio station celebrates with indie rockers Quality Cable, power pop Spud Cannon, electronic Tiny Tiny, skate-disco Cobra Man","WKQQ's birthday bash features Quality Cable, Spud Cannon, Tiny Tiny, and Cobra Man rocking the Smiley Pete Tadoo Lounge in Lexington.","Favorite radio station celebrates middle age with indie rockers Quality Cable, power pop Spud Cannon, electronic Tiny Tiny, and skate-disco Cobra Man.","Celebrate a radio station's milestone with indie rockers Quality Cable, power pop Spud Cannon, electronic Tiny Tiny, and skate-disco Cobra Man.","Favorite radio station's middle age celebration with indie rockers Quality Cable, power pop Spud Cannon, electronic Tiny Tiny, and skate-disco Cobra Man."
Y'Art Sale ,"Y’Art Sale is a shopper-friendly Lexington event that features artists and art patrons selling their unique items for a good cause, US! ","<p><span style=""color: rgb(51, 51, 51);"">Y’Art Sale is a shopper-friendly Lexington event that features artists and art patrons selling their unique items for a good cause, US! Come check out collectibles, home décor, books, furniture, art supplies, and artworks. A percentage of the day’s sales benefits the Art Museum and supports our free admission policy. Check back here&nbsp;</span><a href=""https://finearts.uky.edu/art-museum/events"" target=""_blank"" style=""color: rgb(0, 51, 160);"">finearts.uky.edu/art-museum/events</a><span style=""color: rgb(51, 51, 51);"">&nbsp;in September for maps and information.</span></p>",42004700-c2be-11e9-b43e-456ed9f9b823,"Y'Art Sale: Lexington event showcasing unique artworks, collectibles & decor by artists & patrons, with proceeds benefiting Art Museum.","Y'Art Sale: Lexington event featuring unique art, collectibles, and decor for sale, with proceeds benefiting the Art Museum's free admission.","Lexington's Y'Art Sale features artists selling unique collectibles, decor, art supplies & artworks to benefit the Art Museum's free admission policy.","Lexington's Y'Art Sale offers unique art, collectibles, and decor from local artists and patrons, with proceeds benefiting the Art Museum.","Lexington's Y'Art Sale offers unique artworks, collectibles, and home decor from artists and patrons, with proceeds benefiting the Art Museum."
